우편번호,일련번호,시도,시군구,읍면동,리,도서,번지,아파트/건물명
210910,001,강원도,강릉시,왕산면,,,,
210070,001,강원도,강릉시,용강동,,,,
210390,001,강원도,강릉시,운산동,,,,
210350,001,강원도,강릉시,운정동,,,,
210230,001,강원도,강릉시,월호평동,,,,
210220,001,강원도,강릉시,유산동,,,,
210310,001,강원도,강릉시,유천동,,,,
210080,001,강원도,강릉시,임당동,,,,
210715,003,강원도,강릉시,임당동,,,,동아프라자
210935,001,강원도,강릉시,입암동,,,1~442-1,
210938,001,강원도,강릉시,입암동,,,601~708,
210937,001,강원도,강릉시,입암동,,,443~600,
210730,022,강원도,강릉시,입암동,,,,주공아파트 (601~620동)
210936,011,강원도,강릉시,입암동,,,709-1,
210938,011,강원도,강릉시,입암동,,,710~899,
210793,002,강원도,강릉시,입암동,,,,대우이안아파트
210250,001,강원도,강릉시,입암동,,,,
210778,012,강원도,강릉시,입암동,,,,입암1주공아파트 (101~114동)
210741,012,강원도,강릉시,입암동,,,,금호어울림아파트 (101~115동)
210730,002,강원도,강릉시,입암동,,,,주공아파트 (201~304동)
210731,002,강원도,강릉시,입암동,,,,주공아파트 (401~504동)
210733,002,강원도,강릉시,입암동,,,,녹원아파트
210733,012,강원도,강릉시,입암동,,,,에버그린아파트
210735,012,강원도,강릉시,입암동,,,,태평양아파트
210738,002,강원도,강릉시,입암동,,,,현대아파트
210735,002,강원도,강릉시,입암동,,,,대인3차아파트
210180,001,강원도,강릉시,장현동,,,,
210370,001,강원도,강릉시,저동,,,,
210740,002,강원도,강릉시,저동,,,,저동현대아파트
210803,021,강원도,강릉시,주문진읍,교항10리,,,
210804,001,강원도,강릉시,주문진읍,교항11리,,,
210804,011,강원도,강릉시,주문진읍,교항12리,,,
210804,021,강원도,강릉시,주문진읍,교항13리,,,
210804,031,강원도,강릉시,주문진읍,교항14리,,,
210801,001,강원도,강릉시,주문진읍,교항1리,,,
210801,011,강원도,강릉시,주문진읍,교항2리,,,
210801,021,강원도,강릉시,주문진읍,교항3리,,,
210802,001,강원도,강릉시,주문진읍,교항4리,,,
210802,011,강원도,강릉시,주문진읍,교항5리,,,
210802,021,강원도,강릉시,주문진읍,교항6리,,,
210802,031,강원도,강릉시,주문진읍,교항7리,,,
210803,001,강원도,강릉시,주문진읍,교항8리,,,
210803,011,강원도,강릉시,주문진읍,교항9리,,,
210801,031,강원도,강릉시,주문진읍,교항리,,,
210761,002,강원도,강릉시,주문진읍,교항리,,,우신그린피아아파트 (101~108동)
210805,001,강원도,강릉시,주문진읍,삼교리,,,
210805,011,강원도,강릉시,주문진읍,장덕리,,,
210809,001,강원도,강릉시,주문진읍,주문10리,,,
210809,011,강원도,강릉시,주문진읍,주문11리,,,
210809,021,강원도,강릉시,주문진읍,주문12리,,,
210806,001,강원도,강릉시,주문진읍,주문1리,,,
210806,011,강원도,강릉시,주문진읍,주문2리,,,
210806,021,강원도,강릉시,주문진읍,주문3리,,,
210806,031,강원도,강릉시,주문진읍,주문4리,,,
210807,001,강원도,강릉시,주문진읍,주문5리,,,
210807,011,강원도,강릉시,주문진읍,주문6리,,,
210808,001,강원도,강릉시,주문진읍,주문7리,,,
210808,011,강원도,강릉시,주문진읍,주문8리,,,
210808,021,강원도,강릉시,주문진읍,주문9리,,,
210806,041,강원도,강릉시,주문진읍,주문리,,,
210808,031,강원도,강릉시,주문진읍,향호리,,,
210800,001,강원도,강릉시,주문진읍,,,,
210330,001,강원도,강릉시,죽헌동,,,,
210320,001,강원도,강릉시,지변동,,,,
210702,005,강원도,강릉시,지변동,,,,강릉원주대학교
210260,001,강원도,강릉시,청량동,,,,
210120,001,강원도,강릉시,초당동,,,,
210745,002,강원도,강릉시,초당동,,,,초당동부아파트 (101~102동)
210745,012,강원도,강릉시,초당동,,,,초당우성아파트 (101~105동)
210746,002,강원도,강릉시,초당동,,,,유화1차아파트
210747,002,강원도,강릉시,초당동,,,,이화해변아파트
210747,012,강원도,강릉시,초당동,,,,현대아파트
210746,012,강원도,강릉시,초당동,,,,유화2차아파트
210746,022,강원도,강릉시,초당동,,,,유화3차아파트
210958,021,강원도,강릉시,포남1동,,,1240~1243,
210954,071,강원도,강릉시,포남1동,,,1092~1117,
210955,021,강원도,강릉시,포남1동,,,1146~1165,
210955,011,강원도,강릉시,포남1동,,,1118~1137,
210944,051,강원도,강릉시,포남1동,,,704~891,
210956,041,강원도,강릉시,포남1동,,,1138~1145,
210732,002,강원도,강릉시,포남1동,,,,동남아파트
210732,012,강원도,강릉시,포남1동,,,,삼우골든아파트
210954,021,강원도,강릉시,포남1동,,,554~559-1,
210954,011,강원도,강릉시,포남1동,,,646~693,
210953,021,강원도,강릉시,포남1동,,,1166~1197,
210954,031,강원도,강릉시,포남1동,,,1231~1239,
210944,041,강원도,강릉시,포남1동,,,1037~1054,
210956,021,강원도,강릉시,포남1동,,,994~996,
210111,001,강원도,강릉시,포남1동,,,,
210958,011,강원도,강릉시,포남1동,,,1225~1227,
210946,011,강원도,강릉시,포남1동,,,1257~1287,
210956,011,강원도,강릉시,포남1동,,,999~1005,
210956,031,강원도,강릉시,포남1동,,,892~931,
210704,007,강원도,강릉시,포남1동,,,,강릉경찰서
210705,007,강원도,강릉시,포남2동,,,,KT강릉지사
210939,051,강원도,강릉시,포남2동,,,1244~1256,
210957,041,강원도,강릉시,포남2동,,,160~475,
210940,001,강원도,강릉시,포남2동,,,1006~1017,
210957,031,강원도,강릉시,포남2동,,,511~553,
210945,031,강원도,강릉시,포남2동,,,997~998,
210957,021,강원도,강릉시,포남2동,,,932~993,
210954,051,강원도,강릉시,포남2동,,,694~703,
210954,061,강원도,강릉시,포남2동,,,612~645,
210940,011,강원도,강릉시,포남2동,,,1036,
210953,011,강원도,강릉시,포남2동,,,1312~1322,
210957,011,강원도,강릉시,포남2동,,, 산3~248,
210954,041,강원도,강릉시,포남2동,,,1087~1091,
210112,001,강원도,강릉시,포남2동,,,,
210939,041,강원도,강릉시,포남2동,,,1228~1230,
210939,031,강원도,강릉시,포남2동,,,1198~1224,
210957,051,강원도,강릉시,포남2동,,,1~154,
210952,021,강원도,강릉시,포남2동,,,1055~1062,
210957,061,강원도,강릉시,포남2동,,,1063~1086,
210952,011,강원도,강릉시,포남2동,,,1296~1311,
210953,031,강원도,강릉시,포남2동,,,1288~1295,
210734,002,강원도,강릉시,포남2동,,,,포남1주공아파트
210737,002,강원도,강릉시,포남2동,,,,청송아파트
210734,012,강원도,강릉시,포남2동,,,,포남영진아파트
210737,012,강원도,강릉시,포남2동,,,,송정주공아파트
210736,002,강원도,강릉시,포남2동,,,,일송아파트
210957,071,강원도,강릉시,포남2동,,,559-2~611,
210110,001,강원도,강릉시,포남동,,,,
210899,016,강원도,강릉시,학동,,,334-1~334-27,사서함
210280,001,강원도,강릉시,학동,,,,
210792,005,강원도,강릉시,홍제동,,,,강릉영동대학
210703,007,강원도,강릉시,홍제동,,,,강릉시청
210010,001,강원도,강릉시,홍제동,,,,
210948,001,강원도,강릉시,홍제동,,,1~270,
210949,001,강원도,강릉시,홍제동,,,271~1300,
210722,012,강원도,강릉시,홍제동,,,,힐스테이트아파트 (101~107동)
210721,012,강원도,강릉시,홍제동,,,,푸르지오아파트 (101~106동)
210774,012,강원도,강릉시,회산동,,,,회산주공아파트 (101~106동)
210170,001,강원도,강릉시,회산동,,,,
210600,006,강원도,강릉시,,,,,강릉우체국사서함
219801,001,강원도,고성군,간성읍,간촌리,,,
219802,001,강원도,고성군,간성읍,광산리,,,
219839,006,강원도,고성군,간성읍,광산리,,71-28,사서함
219839,016,강원도,고성군,간성읍,교동리,,71-11,사서함
219801,011,강원도,고성군,간성읍,교동리,,,
219803,001,강원도,고성군,간성읍,금수리,,,
219803,011,강원도,고성군,간성읍,동호리,,,
219839,026,강원도,고성군,간성읍,동호리,,71-13,사서함
219803,041,강원도,고성군,간성읍,봉호리,,,
219801,021,강원도,고성군,간성읍,상리,,,
219700,002,강원도,고성군,간성읍,신안리,,,삼익아파트 (101~108동)
219803,021,강원도,고성군,간성읍,신안리,,,
219801,031,강원도,고성군,간성읍,어천리,,,
219802,011,강원도,고성군,간성읍,장신리,,,
219839,166,강원도,고성군,간성읍,장신리,,71-20,사서함
219839,036,강원도,고성군,간성읍,장신리,,71-15,사서함
219804,001,강원도,고성군,간성읍,진부리,,,
219803,031,강원도,고성군,간성읍,탑동리,,,
219839,046,강원도,고성군,간성읍,탑동리,,71-22,사서함
219801,041,강원도,고성군,간성읍,하리,,,
219802,021,강원도,고성군,간성읍,해상리,,,
219839,056,강원도,고성군,간성읍,해상리,,71-21,사서함
219804,011,강원도,고성군,간성읍,흘리,,,
219800,001,강원도,고성군,간성읍,,,,
219902,031,강원도,고성군,거진읍,거진10리,,,
219902,041,강원도,고성군,거진읍,거진11리,,,
219901,001,강원도,고성군,거진읍,거진1리,,,
219901,011,강원도,고성군,거진읍,거진2리,,,
219901,021,강원도,고성군,거진읍,거진3리,,,
219901,031,강원도,고성군,거진읍,거진4리,,,
219901,041,강원도,고성군,거진읍,거진5리,,,
219901,051,강원도,고성군,거진읍,거진6리,,,
219902,001,강원도,고성군,거진읍,거진7리,,,
219902,011,강원도,고성군,거진읍,거진8리,,,
219902,021,강원도,고성군,거진읍,거진9리,,,
219901,061,강원도,고성군,거진읍,거진리,,,
219903,071,강원도,고성군,거진읍,냉천리,,,
219839,066,강원도,고성군,거진읍,냉천리,,71-4,사서함
219903,001,강원도,고성군,거진읍,대대리,,,
219903,011,강원도,고성군,거진읍,반암리,,,
219839,076,강원도,고성군,거진읍,반암리,,71-16,사서함
219904,001,강원도,고성군,거진읍,봉평리,,,
219904,011,강원도,고성군,거진읍,산북리,,,
219903,021,강원도,고성군,거진읍,석문리,,,
219904,021,강원도,고성군,거진읍,송강리,,,
219904,031,강원도,고성군,거진읍,송정리,,,
219903,031,강원도,고성군,거진읍,송죽리,,,
219903,041,강원도,고성군,거진읍,송포리,,,
219903,051,강원도,고성군,거진읍,오정리,,,
219904,041,강원도,고성군,거진읍,용하리,,,
219904,051,강원도,고성군,거진읍,원당리,,,
219904,061,강원도,고성군,거진읍,자산리,,,
219903,061,강원도,고성군,거진읍,초계리,,,
219904,071,강원도,고성군,거진읍,화포리,,,
219900,001,강원도,고성군,거진읍,,,,
219839,086,강원도,고성군,죽왕면,가진리,,71-9,사서함
219821,001,강원도,고성군,죽왕면,가진리,,,
219821,011,강원도,고성군,죽왕면,공현진리,,,
219839,096,강원도,고성군,죽왕면,공현진리,,71-17,사서함
219839,106,강원도,고성군,죽왕면,구성리,,71-23,사서함
219822,001,강원도,고성군,죽왕면,구성리,,,
219823,001,강원도,고성군,죽왕면,문암진리,,,
219823,011,강원도,고성군,죽왕면,삼포리,,,
219822,011,강원도,고성군,죽왕면,서성리,,,
219822,021,강원도,고성군,죽왕면,석교리,,,
219823,021,강원도,고성군,죽왕면,송암리,,,
219823,031,강원도,고성군,죽왕면,야촌리,,,
219821,021,강원도,고성군,죽왕면,오봉리,,,
219822,031,강원도,고성군,죽왕면,오호리,,,
219839,116,강원도,고성군,죽왕면,오호리,,71-18,사서함
219822,041,강원도,고성군,죽왕면,인정리,,,
219821,031,강원도,고성군,죽왕면,향목리,,,
219820,001,강원도,고성군,죽왕면,,,,
219831,001,강원도,고성군,토성면,교암리,,,
219831,011,강원도,고성군,토성면,금화정리,,,
219831,021,강원도,고성군,토성면,도원리,,,
219831,031,강원도,고성군,토성면,백촌리,,,
219832,001,강원도,고성군,토성면,봉포리,,,
219839,126,강원도,고성군,토성면,봉포리,,71-5~71-7,사서함
219705,005,강원도,고성군,토성면,봉포리,,,경동대학교
219833,001,강원도,고성군,토성면,성대리,,,
219832,011,강원도,고성군,토성면,성천리,,,
219832,021,강원도,고성군,토성면,신평리,,,
219839,136,강원도,고성군,토성면,아야진리,,71-10,사서함
219833,011,강원도,고성군,토성면,아야진리,,,
219831,041,강원도,고성군,토성면,용암리,,,
219832,031,강원도,고성군,토성면,용촌리,,,
219831,051,강원도,고성군,토성면,운봉리,,,
219832,041,강원도,고성군,토성면,원암리,,,
219832,051,강원도,고성군,토성면,인흥리,,,
219833,021,강원도,고성군,토성면,천진리,,,
219833,031,강원도,고성군,토성면,청간리,,,
219839,146,강원도,고성군,토성면,학야리,,71-1~71-3,사서함
219831,061,강원도,고성군,토성면,학야리,,,
219839,176,강원도,고성군,토성면,학야리,,71-8,사서함
219839,196,강원도,고성군,토성면,학야리,,71-14,사서함
219839,186,강원도,고성군,토성면,학야리,,71-12,사서함
219839,206,강원도,고성군,토성면,학야리,,71-27,사서함
219830,001,강원도,고성군,토성면,,,,
219811,001,강원도,고성군,현내면,대진1리,,,
219811,011,강원도,고성군,현내면,대진2리,,,
219812,001,강원도,고성군,현내면,대진3리,,,
219812,011,강원도,고성군,현내면,대진4리,,,
219812,021,강원도,고성군,현내면,대진5리,,,
219811,051,강원도,고성군,현내면,대진리,,,
219813,001,강원도,고성군,현내면,마달리,,,
219811,021,강원도,고성군,현내면,마차진리,,,
219811,031,강원도,고성군,현내면,명파리,,,
219811,041,강원도,고성군,현내면,배봉리,,,
219813,011,강원도,고성군,현내면,산학리,,,
219813,021,강원도,고성군,현내면,죽정리,,,
219812,031,강원도,고성군,현내면,철통리,,,
219812,041,강원도,고성군,현내면,초도리,,,
219813,031,강원도,고성군,현내면,화곡리,,,
219810,001,강원도,고성군,현내면,,,,
240110,001,강원도,동해시,괴란동,,,,
240210,001,강원도,동해시,구미동,,,,
240729,002,강원도,동해시,구미동,,,,주공아파트 (1~205동)
240230,001,강원도,동해시,구호동,,,,
240300,001,강원도,동해시,귀운동,,,,
240170,001,강원도,동해시,나안동,,,,
240260,001,강원도,동해시,내동,,,,
240270,001,강원도,동해시,단봉동,,,,
245899,016,강원도,동해시,단봉동,,,73-4,사서함
245899,026,강원도,동해시,단봉동,,,73-7,사서함
245899,086,강원도,동해시,단봉동,,,73-2,사서함
240330,001,강원도,동해시,달방동,,,,
240240,001,강원도,동해시,대구동,,,,
240070,001,강원도,동해시,대진동,,,,
240043,001,강원도,동해시,동호동,,,,
240733,002,강원도,동해시,동호동,,,,경민아파트
240801,001,강원도,동해시,동호동,,,182~184,
240801,011,강원도,동해시,동호동,,,230,
240801,051,강원도,동해시,동호동,,,216~220,
240800,021,강원도,동해시,동호동,,,498~522,
240800,031,강원도,동해시,동호동,,,530~584,
240801,021,강원도,동해시,동호동,,,225~228,
240801,041,강원도,동해시,동호동,,,129~139,
240801,031,강원도,동해시,동호동,,,232~234,
240180,001,강원도,동해시,동회동,,,,
240719,002,강원도,동해시,동회동,,,,대동아파트
240120,001,강원도,동해시,만우동,,,,
240080,001,강원도,동해시,망상동,,,,
240817,011,강원도,동해시,묵호진동,,,15,
240050,011,강원도,동해시,묵호진동,,,,
240816,011,강원도,동해시,묵호진동,,, 산1~33,
240817,021,강원도,동해시,묵호진동,,,28~38,
240818,031,강원도,동해시,묵호진동,,,71~98,
240818,011,강원도,동해시,묵호진동,,, 산35~96,
240818,021,강원도,동해시,묵호진동,,,40~41,
240817,031,강원도,동해시,묵호진동,,,42~70,
240816,031,강원도,동해시,묵호진동,,,16~21,
240816,021,강원도,동해시,묵호진동,,,1~14,
240803,031,강원도,동해시,발한동,,,327~330,
240803,021,강원도,동해시,발한동,,,300~310,
240802,021,강원도,동해시,발한동,,,288~299,
240804,011,강원도,동해시,발한동,,,1~127,
240804,021,강원도,동해시,발한동,,,140~181,
240802,011,강원도,동해시,발한동,,,239~261,
240804,001,강원도,동해시,발한동,,,199~209,
240041,001,강원도,동해시,발한동,,,,
240030,001,강원도,동해시,부곡동,,,,
240815,011,강원도,동해시,부곡동,,,126~128,
240813,021,강원도,동해시,부곡동,,,95,
240813,011,강원도,동해시,부곡동,,,56~75,
240813,041,강원도,동해시,부곡동,,,169~439,
240813,031,강원도,동해시,부곡동,,,144~155,
240813,051,강원도,동해시,부곡동,,,443~475,
240814,021,강원도,동해시,부곡동,,,28~42,
240814,041,강원도,동해시,부곡동,,,80~93,
240814,051,강원도,동해시,부곡동,,,105~123,
240815,031,강원도,동해시,부곡동,,,440,
240815,021,강원도,동해시,부곡동,,,143,
240815,061,강원도,동해시,부곡동,,,15~23,
240815,051,강원도,동해시,부곡동,,,43~47,
240815,041,강원도,동해시,부곡동,,,77~79,
240815,071,강원도,동해시,부곡동,,,1~7,
240814,081,강원도,동해시,부곡동,,,441~442,
240814,061,강원도,동해시,부곡동,,,134~140,
240814,071,강원도,동해시,부곡동,,,166,
240814,031,강원도,동해시,부곡동,,,48~54,
240814,011,강원도,동해시,부곡동,,,9~12,
240200,001,강원도,동해시,북평동,,,,
240717,007,강원도,동해시,북평동,,,,동해화력발전처
240320,001,강원도,동해시,비천동,,,,
240350,001,강원도,동해시,삼화동,,,,
240712,004,강원도,동해시,삼화동,,,,쌍용양회동해공장
240130,001,강원도,동해시,송정동,,,,
240806,001,강원도,동해시,송정동,,,855~1682,
240899,026,강원도,동해시,송정동,,,604-21~604-25,사서함
240716,007,강원도,동해시,송정동,,,,동해지방해양항만청
240806,021,강원도,동해시,송정동,,,1~848,
240806,011,강원도,동해시,송정동,,,850~853,
240806,031,강원도,동해시,송정동,,, 산1~8,
240805,031,강원도,동해시,송정동,,,854,
240805,021,강원도,동해시,송정동,,,849,
240718,002,강원도,동해시,쇄운동,,,,부영아파트 (101~113동)
240190,001,강원도,동해시,쇄운동,,,,
240310,001,강원도,동해시,신흥동,,,,
240090,001,강원도,동해시,심곡동,,,,
240060,001,강원도,동해시,어달동,,,,
240140,001,강원도,동해시,용정동,,,,
240360,001,강원도,동해시,이기동,,,,
240290,001,강원도,동해시,이도동,,,,
240340,001,강원도,동해시,이로동,,,,
240280,001,강원도,동해시,지가동,,,,
240150,001,강원도,동해시,지흥동,,,,
240713,005,강원도,동해시,지흥동,,,,한중대학교
240701,007,강원도,동해시,천곡동,,,,동해시청
240727,012,강원도,동해시,천곡동,,,,현대아파트
240812,001,강원도,동해시,천곡동,,,826~994,
240811,001,강원도,동해시,천곡동,,,791~794,
